job_id,title,company,location,salary_raw,jd_raw,source,jd_text,salary_min,salary_max,salary_currency,skills
indeed_0_8,Machine Learning Intern - Multimodal Models Generative AI,NVIDIA,Hong Kong,,全職,indeed,全職,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_2_17,Engineer (IT Developer),South China Morning Post,Hong Kong,,全職,indeed,全職,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_1_33,AI Security Engineer,Crypto.com,Hong Kong,,全職醫療保險有薪年假,indeed,全職醫療保險有薪年假,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_2_34,AI Automations Engineer,Pattern,"Causeway Bay, Hong Kong Island",,全職,indeed,全職,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_2_38,Internal AI Product Owner,Yodo1,Remote,,,indeed,,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_2_42,Senior AI Security Engineer,Zoolatech,"Central, Hong Kong Island",,,indeed,,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_0_0,Agentic Systems Architect (AI Engineering),Hyphen Connect Limited,Hong Kong,,,indeed,,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_0_4,Cloud Solution Architect,Morgan McKinley,Hong Kong,,長工,indeed,長工,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_0_8,Lead Solutions Architect (Digital Transformation / Data Analytics / AI) - IC,Classy Wheeler,"Quarry Bay, Hong Kong Island","月薪 $80,000 - $95,000","月薪 $80,000 - $95,000長工",indeed,"月薪 80,000 - 95,000長工",80000.0,95000.0,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_0_12,AI Solution Architect,EcoCeres,Hong Kong,,全職,indeed,全職,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_1_17,"Android Architect (BigPay, Binance Chat)",Binance,Remote,,全職在家工作,indeed,全職在家工作,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_1_21,Chief Engineer / Chief Architect (ASIC Design),AI Chip Center for Emerging Smart Systems Limited,Hong Kong,,全職 +1醫療保險有薪年假牙科保險有薪病假,indeed,全職 +1醫療保險有薪年假牙科保險有薪病假,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_1_25,Principal Engineer / Principal Architect,AI Chip Center for Emerging Smart Systems Limited,Hong Kong,,全職 +1醫療保險有薪年假牙科保險有薪病假,indeed,全職 +1醫療保險有薪年假牙科保險有薪病假,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_1_29,Senior AWS Data Solution Architect,Hexience Systems Limited,Hong Kong Island,,長工,indeed,長工,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_2_34,Senior Technical Business Analyst (Solution Architect),Li & Fung (Trading) Limited,Hong Kong,,全職員工購物優惠,indeed,全職員工購物優惠,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_2_38,AI Platform & Infra Architect,Cummins Inc.,Hong Kong,,,indeed,,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_2_42,Senior Solution Architect (AI),"EPAM Systems, Inc.","Central and Western District, Hong Kong Island",,,indeed,,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_2_46,Digital Workplace Architect,Tata Consultancy Services,Hong Kong,,,indeed,,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_2_50,Information Security Architect,Allianz,Hong Kong,,全職,indeed,全職,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
